"Название","Послед.","Макс.","Мин.","Изм.","Изм.%","Объём","Время"
"Boeing","224,05","224,71","218,70","1,99","0,90%","1,9M","19:22:40"
"Chevron","189,17","192,40","188,12","-0,73","-0,38%","4,75M","19:22:18"
"Caterpillar","690,95","696,32","675,07","-15,14","-2,14%","1,04M","19:22:51"
"Microsoft","411,98","413,05","408,95","1,30","0,32%","10,05M","19:22:24"
"Walt Disney","100,93","101,81","99,95","-1,48","-1,45%","3,46M","19:22:52"
"Cisco","79,20","79,50","78,52","-0,81","-1,01%","4,68M","19:22:51"
"Goldman Sachs","820,42","826,51","801,33","-15,05","-1,80%","1,02M","19:22:56"
"JPMorgan","286,65","288,29","283,72","-6,90","-2,35%","4,31M","19:22:54"
"Coca-Cola","76,79","76,91","76,36","-0,25","-0,32%","3,6M","19:22:53"
"McDonald’s","325,06","326,29","321,35","-2,39","-0,73%","816,82K","19:22:54"
"Merck&Co","114,20","115,60","113,82","-1,88","-1,62%","2,09M","19:22:59"
"3M","152,70","154,10","151,76","-3,51","-2,25%","1,27M","19:22:50"
"Apple","257,18","258,76","254,37","-3,11","-1,19%","11,5M","19:22:02"
"Amazon.com","214,98","217,32","214,20","-3,96","-1,81%","16,49M","19:22:51"
"Amgen","367,46","369,76","361,71","-0,14","-0,04%","724,03K","19:22:31"
"NVIDIA","181,14","182,76","179,64","-2,20","-1,20%","59,9M","19:21:47"
"Sherwin-Williams","328,72","331,68","325,09","-6,74","-2,01%","619,1K","19:22:32"
"Walmart","123,76","124,13","121,62","0,45","0,36%","6,87M","19:22:10"
"Home Depot","356,93","358,50","353,22","-4,76","-1,31%","831,71K","19:23:00"
"IBM","256,54","257,90","252,23","-0,01","0,00%","1,68M","19:22:52"
"Verizon","50,70","51,15","50,41","-0,49","-0,95%","7,88M","19:22:49"
"The Travelers","304,43","305,01","300,82","-2,21","-0,72%","267,89K","19:22:58"
"J&J","236,39","239,41","235,43","-3,24","-1,35%","2,28M","19:22:56"
"American Express","298,54","302,03","294,51","-8,67","-2,82%","1,9M","19:22:46"
"Honeywell","235,60","236,59","234,17","-2,79","-1,17%","682,84K","19:22:01"
"Salesforce Inc","200,83","202,48","197,37","-0,56","-0,28%","3,03M","19:22:18"
"Visa A","315,05","317,50","312,30","-4,75","-1,49%","1,81M","19:22:51"
"UnitedHealth","285,56","291,33","283,05","-3,21","-1,11%","2,28M","19:22:51"
"Nike","56,92","57,55","56,77","-1,10","-1,90%","5,04M","19:22:55"
"P&G","153,04","153,68","151,92","-0,95","-0,62%","1,8M","19:22:46"
